Group,Opt. Flag,NThreads,Loop,BCO,Identifier,Metric,Sum,Min,Max,Avg,
L3,O0,2,ikj,1024,L3_O0_P2_ikj_bco_1024,Runtime (RDTSC) [s] STAT,156.9156,39.2289,39.2289,39.2289,
L3,O0,2,ijk,16,L3_O0_P2_ijk_bco_16,Runtime (RDTSC) [s] STAT,429.9788,107.4947,107.4947,107.4947,
L3,O0,2,jik,1024,L3_O0_P2_jik_bco_1024,Runtime (RDTSC) [s] STAT,214.9752,53.7438,53.7438,53.7438,
L3,O0,2,jik,0,L3_O0_P2_jik,Runtime (RDTSC) [s] STAT,538.6232,134.6558,134.6558,134.6558,
L3,O0,2,ikj,32,L3_O0_P2_ikj_bco_32,Runtime (RDTSC) [s] STAT,280.4736,70.1184,70.1184,70.1184,
L3,O0,2,ikj,64,L3_O0_P2_ikj_bco_64,Runtime (RDTSC) [s] STAT,213.6820,53.4205,53.4205,53.4205,
L3,O0,2,kji,512,L3_O0_P2_kji_bco_512,Runtime (RDTSC) [s] STAT,200.8840,50.2210,50.2210,50.2210,
L3,O0,2,jik,2048,L3_O0_P2_jik_bco_2048,Runtime (RDTSC) [s] STAT,524.1632,131.0408,131.0408,131.0408,
L3,O0,2,kji,128,L3_O0_P2_kji_bco_128,Runtime (RDTSC) [s] STAT,190.4124,47.6031,47.6031,47.6031,
L3,O0,2,ijk,256,L3_O0_P2_ijk_bco_256,Runtime (RDTSC) [s] STAT,175.5720,43.8930,43.8930,43.8930,
L3,O0,2,jki,16,L3_O0_P2_jki_bco_16,Runtime (RDTSC) [s] STAT,415.5588,103.8897,103.8897,103.8897,
L3,O0,2,jik,16,L3_O0_P2_jik_bco_16,Runtime (RDTSC) [s] STAT,429.5336,107.3834,107.3834,107.3834,
L3,O0,2,ijk,128,L3_O0_P2_ijk_bco_128,Runtime (RDTSC) [s] STAT,192.8540,48.2135,48.2135,48.2135,
L3,O0,2,kij,128,L3_O0_P2_kij_bco_128,Runtime (RDTSC) [s] STAT,185.2108,46.3027,46.3027,46.3027,
L3,O0,2,jik,512,L3_O0_P2_jik_bco_512,Runtime (RDTSC) [s] STAT,188.3992,47.0998,47.0998,47.0998,
L3,O0,2,jki,2048,L3_O0_P2_jki_bco_2048,Runtime (RDTSC) [s] STAT,692.5880,173.1470,173.1470,173.1470,
L3,O0,2,ikj,256,L3_O0_P2_ikj_bco_256,Runtime (RDTSC) [s] STAT,170.4824,42.6206,42.6206,42.6206,
L3,O0,2,kji,16,L3_O0_P2_kji_bco_16,Runtime (RDTSC) [s] STAT,435.8348,108.9587,108.9587,108.9587,
L3,O0,2,kij,64,L3_O0_P2_kij_bco_64,Runtime (RDTSC) [s] STAT,223.0292,55.7573,55.7573,55.7573,
L3,O0,2,kij,0,L3_O0_P2_kij,Runtime (RDTSC) [s] STAT,155.2684,38.8171,38.8171,38.8171,
L3,O0,2,jki,1024,L3_O0_P2_jki_bco_1024,Runtime (RDTSC) [s] STAT,379.3944,94.8486,94.8486,94.8486,
L3,O0,2,ijk,2048,L3_O0_P2_ijk_bco_2048,Runtime (RDTSC) [s] STAT,729.4296,182.3574,182.3574,182.3574,
